"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-15","64","69","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-16","64","69","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-17","64","70","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-18","64","69","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-19","63","71","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-20","68","77","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-21","68","73","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-22","68","74","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-23","69","76","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-24","68","76","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-25","67","72","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-26","64","70","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-27","65","69","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-28","69","75","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-29","71","78","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-06-30","70","85","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-01","71","76","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-02","69","75","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-03","66","71","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-04","65","72","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-05","65","70","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-06","65","70","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-07","66","72","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-08","67","71","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-09","67","73","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-10","67","71","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-11","67","73","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-12","68","74","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-13","70","75","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-14","68","75","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-15","69","75","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-16","69","74","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-17","67","73","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-18","69","85","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-19","76","86","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-20","77","84","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-21","71","77","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-22","71","77","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-23","71","77","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-24","71","77","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-25","72","79","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-26","72","76","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-07-27","71","76","67"
